Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,HAYBOROUGH,5211,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,HENDON,5014,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,HEWETT,5118,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,HEWETT,5118,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,HINDMARSH,5007,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,INGLE FARM,5098,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,INGLE FARM,5098,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,KADINA,5554,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,KALTJITI,0872,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,KAPUNDA,5373,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,KAPUNDA,5373,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
2025-07-01,KIDMAN PARK,5025,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,KIDMAN PARK,5025,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
2025-07-01,KILBURN,5084,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,KILKENNY,5009,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,LARGS NORTH,5016,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MAGILL,5072,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,MAGILL,5072,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,MANSFIELD PARK,5012,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MARION,5043,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,MAWSON LAKES,5095,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,MILANG,5256,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,MILLICENT,5280,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of other prescribed officer,1
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,MITCHELL PARK,5043,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
